Temperature,Specific conductance,Dissolved oxygen,pH,Turbidity,Chlorophyll
15.2,211,10.7,9,6.7,6.5
15.1,211,10.7,9,5.2,5.9
15.1,211,10.6,9,6.7,4.7
15.1,211,10.6,9,1.6,5.9
15.1,211,10.6,9,4.1,9.5
15,212,10.6,9,6.8,10
15,212,10.6,9,4.5,5.5
15.1,211,10.7,9,8.4,8.1
15.3,211,10.8,9,10.5,13.3
15.5,211,10.9,9,5.4,5.8
15.8,211,11,9,6.1,4.4
15.8,211,11.2,9,4.7,3.7
15.4,211,11.3,9,5.7,3.4
16.4,212,11,9,7.3,3.3
17.4,212,11,9,9.4,3.5
16.7,212,11.2,9,6.8,4.9
16.8,211,11.3,9,8.4,4.2
17.2,212,11.3,9,8.4,4.8
16.7,211,11.4,9,9.3,6.2
16.7,211,11.4,9,8.4,5.8
16.7,211,11.3,9,7.7,6.5
16.7,212,11.2,9,12.4,7.2
16.6,212,11.2,9,9.9,3.2
16.5,212,11.1,9,38.7,7.9
16.4,212,11.1,9,10.5,5
16.3,212,11,9,6.2,6.2
16.3,212,11,9,9.1,9.9
16.2,212,10.9,9,14.6,5.7
16.1,212,10.9,9,8.6,8.8
16,212,10.9,9,4,5.6
16,212,11,9,2.6,5.9
16,212,11,9,3.8,4.7
16,212,11.1,9,6.6,5.7
16.1,212,11.2,9,3.5,6
16.2,212,11.2,9,4.8,3.8
16.3,212,11,9,3.5,3.5
16.4,212,10.8,9,5.4,4
15.5,212,10.9,9,2.3,4.2
16.4,212,11.3,9,8.5,5.7
16.1,212,11.2,9,4.5,4.2
16.1,212,11.2,9,7.7,7
15.9,212,11.2,9,3.7,4.2
15.7,212,11.1,9,3.8,4.6
15.6,212,10.9,9,4.8,4.6
15.6,212,11,9,8.9,7.2
15.3,212,10.8,9,9,6.1
15.1,212,10.5,8.9,2.1,4
15.2,212,10.6,8.9,2.6,4.9
15.2,212,10.6,9,1.7,3.3
15.2,212,10.6,8.9,2.3,4.9
15.2,212,10.6,9,3.1,4.2
15.3,212,10.6,9,3.1,4.6
15.2,212,10.6,9,2.7,4.3
15.2,212,10.6,9,3.1,4.8
15.2,212,10.6,9,3.6,4.5
15.2,212,10.6,9,3.4,4.1
15.2,212,10.6,9,3,3.8
15.3,212,10.6,9,2.9,4.1
15.4,212,10.6,9,2.8,2.8
15.4,212,10.6,8.9,2.8,3.1
15.4,213,10.5,8.9,3.2,2.6
15.5,213,10.5,8.9,3.1,3
15.6,213,10.6,8.9,3.1,3.3
15.7,213,10.6,8.9,3.3,3.3
15.8,213,10.6,8.9,3.7,3.5
15.7,213,10.6,8.9,3,5.8
15.7,213,10.6,8.9,3.4,3.6
15.7,213,10.6,8.9,4.1,4.9
15.7,213,10.6,8.9,4.4,5.3
15.7,213,10.5,8.9,4.9,4.8
15.6,213,10.5,8.9,3.3,5.2
15.7,213,10.5,8.9,2.8,6.7
15.6,213,10.5,8.9,3.7,5.1
15.6,213,10.5,8.9,3.5,7
15.6,213,10.4,8.9,2,8.3
15.5,213,10.4,8.9,4.5,6.1
15.5,213,10.4,8.9,5.8,6.2
15.4,213,10.4,8.9,3.2,7.9
15.4,213,10.4,8.9,4.2,6.4
15.4,213,10.4,8.9,2.5,7.3
15.6,213,10.6,8.9,4.7,5.8
15.8,213,10.6,8.9,3.4,5.4
16,213,10.7,9,4.1,4.5
16.1,213,10.8,9,5.2,3.6
16.4,213,10.8,9,4.5,3.2
16.3,213,11.1,9,6.3,3.6
16.4,213,11.3,9,9.2,4.3
16,212,11.4,9,7.6,5.4
16.2,212,11.3,9,6.3,4.7
16.2,212,11.6,9,8.6,7
16.9,212,11.8,9.1,11.8,7.8
17.4,213,11.9,9.1,13.3,11
17.5,213,11.8,9.1,14.7,9.9
17.5,213,11.9,9.1,21.2,11.9
17.4,213,11.8,9.1,14.8,12.2
17.4,213,11.8,9.1,18.6,10.4
17.3,213,11.6,9.1,15.3,20.4
17.2,213,11.5,9.1,13.5,12.8
17.1,213,11.4,9.1,16.6,17.3
16.9,213,11.4,9.1,17.2,10.2
16.8,213,11.3,9.1,16.4,14.6
16.7,213,11.2,9,23.5,39.6
16.7,213,11.3,9,14.2,9.1
16.7,213,11.4,9,14.5,9.4
16.8,213,11.9,9.1,11.9,11.7
16.8,213,12,9.1,52.4,13.8
17.3,213,11.8,9.1,13.7,12
17,214,11.6,9.1,5.2,5.7
16,212,11.5,9,2.1,4.5
15.6,214,10.2,8.9,1,3.5
15.5,213,10.3,8.9,1.1,4.8
16,214,10.4,8.9,2,4.4
16.3,213,10.8,9,3.6,5.1
17.4,213,11.9,9.1,10.5,10.5
17.8,213,12.3,9.1,17.9,16.3
17.8,213,12.3,9.1,12.6,12
17.8,213,12.2,9.1,22.2,9.9
17.8,213,12.1,9.1,16.6,14.8
17.7,213,11.9,9.1,18,12.1
17.6,213,11.6,9.1,40.1,21.8
17.7,213,11.6,9.1,46.2,14.9
17.6,213,11.4,9.1,22.3,18.4
17.5,213,11.3,9.1,14.1,19.4
17.4,213,11.2,9,14.1,10.8
17.4,213,11.1,9,9.1,18.3
17.3,214,10.9,9,14.7,15.6
17.2,214,11,9,16.4,10.1
17.2,213,11.1,9,10.3,12.2
17.2,213,11.3,9.1,4.4,12.6
17.3,213,11.2,9,6.4,11.4
17.3,213,11.2,9,6,8.6
17.4,213,11.4,9.1,3.9,7
17.3,213,11.1,9,4.8,7.4
17.4,213,11.3,9.1,2.2,8
16.7,214,11,9,1,4.5
17,214,11,9,2.7,5.5
16.6,214,11,9,2.6,3.6
17.4,214,11,9,2.1,5.1
17.1,213,11.6,9.1,12.6,5.1
17,213,11.5,9.1,1.4,3.5
17.3,213,11.5,9.1,7.2,9.2
17.2,213,11.6,9.1,3.7,5.8
17.5,213,11.3,9.1,7,5.8
17.6,213,11.3,9.1,10,6.6
17.6,214,11.2,9.1,9.5,8
17.6,213,11.5,9.1,13.1,15.1
17.5,213,11.4,9.1,19.3,12.2
17.5,213,11.3,9.1,12.9,9.8
17.4,213,11.2,9.1,12.4,10.8
17.4,214,11.1,9,31.3,10.6
17.3,214,11.1,9,6.9,12.5
17.3,214,11.2,9.1,5.7,10.1
17.4,213,11.4,9.1,8.3,12.8
17.4,213,11.4,9.1,11.8,8.6
17.4,213,11.2,9,9.1,5.7
17.4,214,11.2,9.1,9.5,6.6
17.6,213,11.4,9.1,6.4,8.9
17.5,213,11.3,9.1,5,4
17.6,214,11.4,9.1,3.5,5.2
17.6,213,11.2,9,3.8,6.2
17.4,213,11.1,9,3.3,4.6
17.7,213,11.4,9.1,7.1,8.3
17.9,214,11.5,9.1,15.5,12.4
17.8,214,11.4,9.1,7,16.4
17.7,214,11.3,9.1,8.9,8.7
17.6,214,11.2,9.1,8.1,6.9
17.6,214,11.2,9.1,6.4,15.8
17.6,214,11.1,9.1,8.7,10.9
17.5,214,11,9.1,7.6,12.3
17.4,214,10.9,9,9.2,16.2
17.4,214,10.9,9,10.4,9.8
17.4,214,10.8,9,8.2,10.3
17.3,214,10.7,9,11.1,12.9
17.3,214,10.7,9,8,13.2
17.3,214,10.6,9,4.6,11.1
17.3,214,10.7,9,5,10.5
17.5,214,11,9,8.1,12.4
17.7,214,11.1,9.1,7.8,8.9
18.1,214,11.1,9,4.8,7.4
18.2,214,11.1,9.1,3.2,11.1
17.7,214,11,9.1,6.8,9.4
18.2,214,10.9,9,6.3,9.4
18.4,214,11,9,12.1,5.7
19.3,214,11.2,9.1,6.4,5.2
18.6,214,11.4,9.1,5.1,18.5
18.3,214,11.2,9.1,10.4,10.6
18.5,214,10.9,9,15.5,13.5
18.4,214,11,9.1,10.9,11.2
18.3,214,10.9,9.1,7.9,11.7
18.3,214,10.7,9,12.7,14
18.2,214,10.7,9,11.8,13.7
18.2,214,10.5,9,8.8,14.8
18.1,214,10.5,9,7,8.7
18.1,214,10.6,9,7.3,11
18,214,10.6,9,4.4,15.9
17.9,214,10.5,9,8.4,7.9
17.9,214,10.5,9,5.4,8.4
17.9,214,10.4,9,6.7,16.7
17.8,214,10.4,9,6.6,13.8
17.7,214,10.4,9,8.4,10.5
17.9,214,10.6,9,15.7,9
18,214,10.6,9,10,10
17.9,214,10.6,9,7.8,10.8
17.6,215,10.4,9,4.4,10
17.4,216,10.3,9,2,6.4
17.5,216,10.3,9,4.6,9.9
17.5,216,10.4,9,3.2,8.7
17.7,215,10.5,9,3.7,21.8
17.9,215,10.5,9,3.2,8.8
17.9,215,10.6,9,5.6,8.2
17.8,215,10.6,9,6.2,10.6
17.8,215,10.7,9,4.7,6.3
17.8,215,10.6,9,4.2,7.4
17.6,215,10.5,9,4.7,7.2
17.6,216,10.4,9,6.5,26.4
17.6,215,10.4,9,3.8,10.3
17.6,215,10.4,9,5.2,13.8
17.5,215,10.4,9,3.4,6.3
17.5,215,10.3,9,3.4,7.3
17.5,215,10.3,9,2.6,16.9
17.5,215,10.2,9,4.8,12.5
17.4,215,10.1,9,5,21.8
17.4,215,10.1,9,3,7.1
17.4,215,10.1,9,4.7,7.2
17.4,215,10.2,9,3.2,5
17.4,215,10.2,9,5.2,6.2
17.6,215,10.2,9,2.6,5.5
17.8,215,10.3,9,4.2,5.5
18,215,10.4,9,2.4,6.8
17.9,215,10.4,9,2.2,3.8
17.9,215,10.6,9,2.1,3.8
18.2,215,10.5,9,3.2,4.1
17.8,215,10.8,9,4.7,6.2
18,215,11,9.1,2.9,6.9
18,215,11,9.1,4.2,7.7
18.2,215,10.6,9,3.6,8.1
18,215,10.7,9,2.7,11.4
17.9,215,10.8,9,2.4,12.9
18,216,10.3,9,2.1,4
18,216,10.3,9,2.3,5.2
18,216,10.3,9,2.2,5.5
17.9,216,10.3,9,1.6,6.3
17.9,215,10.4,9,4,9.2
17.9,216,10.4,9,3,8.3
17.9,216,10.3,9,3.4,8.6
17.8,216,10.3,9,3.1,5.7
17.8,216,10.3,9,5.1,7.1
17.8,216,10.3,9,2.7,9.6
18,216,10.4,9,2.6,7.4
18.2,216,10.4,9,2.3,6.1
18.4,216,10.4,9,2.3,4.5
18.7,216,10.4,9,2.3,4.5
18.6,216,10.6,9,2.7,4.1
18.4,216,10.7,9,2.4,2.6
19,215,10.6,9,1.8,2.4
18.4,216,10.7,9,2.2,5.5
18.8,216,10.8,9,2.7,4
19.4,216,10.6,9,2.9,4.2
19,216,10.5,9,2.3,6.3
18.9,216,10.7,9,2.3,5.8
18.6,217,10.5,9,2.8,7.6
18.4,216,10.6,9,2.3,5
18.5,216,10.6,9,2.4,8.7
18.6,217,10.3,9,2.7,4.9
18.4,216,10.3,9,2.3,4.6
18.3,216,10.3,9,2.1,5
18.4,217,10.2,9,1.8,3.8
18.3,217,10.1,9,1.6,3.4
18.2,217,10.1,9,1.8,7.3
18.2,217,10.1,9,1.7,6.5
18.2,217,10.1,9,2,6.7
18.2,217,10.1,9,2.6,5
18.1,217,10.1,9,2.1,4
18.2,217,10.1,9,2.1,3.6
18.3,217,10.1,9,2.1,2.3
18.4,217,10,9,1.8,2.8
18.6,217,10,9,1.6,3.6
18.8,217,10.2,9,1.7,2.1
19.1,217,10,9,1.6,1.9
19,217,10,9,1.7,2
18.8,217,10.2,9,1.6,3.2
19,217,10.3,9,1.6,3.6
18.8,217,10.3,9,1.8,3.2
18.8,217,10.1,9,1.5,3.9
18.6,217,10.1,9,1.6,4
18.6,217,10.1,9,2,4.4
18.7,218,10.1,9,1.6,4.1
18.7,218,10.1,9,2,8.3
18.6,218,10.1,9,1.5,5.2
18.6,218,10,9,1.7,5.2
18.6,218,10,9,1.8,5
18.5,218,10,9,1.8,3.8
18.5,218,9.9,9,3.3,6.1
18.4,218,9.9,9,1.5,5.1
18.3,218,9.9,9,1.6,4.8
18.4,218,9.9,9,2.2,3.8
18.5,218,9.8,9,2.3,3.5
18.5,218,9.9,9,1.4,3.6
18.6,218,10,9,2.3,4.1
18.7,218,10,9,1.7,2.3
18.6,218,10.1,9,1.1,5.7
19.1,218,10.2,9,1.9,17.9
20.3,218,10,9,1.9,7.3
19.9,218,10.2,9,1.5,2.1
19.4,218,10.5,9,1.6,3.2
19.6,218,10.4,9,7.6,2.5
19.3,218,10.4,9,1.5,2.9
18.9,217,10.5,9,1.6,3.5
19.1,218,10.4,9,1.5,2.6
19,218,10.4,9,1.4,3.5
19.3,218,10.3,9,1.8,7.6
19.4,218,10.3,9,1.6,3.5
19.6,219,10.2,9,1.8,5.6
19.6,219,10.1,9,1.8,3.9
19.5,219,10.1,9,1.8,7.2
19.4,219,10,9,1.6,6.8
19.3,219,10,9,1.6,5.1
19.2,219,10,9,1.4,3.1
19.1,219,10,9,1,3.4
19.2,219,9.9,9,0.8,6.7
19.2,219,10,9,1.2,4.1
19.3,219,10,9,1.2,
19.4,219,10,9,1.1,5
19.8,219,10.1,9,0.9,4.2
20,219,10.1,9,1.1,4.4
19.6,218,10.1,9,1.2,3
19.6,218,10.2,9,1.3,2.4
20,218,10,9,0.9,2.5
19.4,218,10.1,9,4.8,2.5
19.3,218,10.2,9,0.8,2.3
19.3,218,10.2,9,1.1,4.1
19.4,219,10.2,9,1.8,5
19.6,219,10.3,9,1.3,3.8
19.7,219,10.1,9,1,3.6
19.7,219,10,9,1.3,3.5
19.6,219,10,9,1.1,2.5
19.6,219,10,9,0.9,3.6
19.6,219,9.9,9,0.9,3.1
19.5,219,9.9,9,1.1,3.3
19.4,219,9.9,9,1.1,4.3
19.4,219,9.9,9,1.2,3.9
19.4,219,9.8,9,0.8,3.8
19.3,219,9.8,9,0.9,2.6
19.4,219,9.8,9,0.9,3
19.6,219,9.9,9,0.8,7.8
19.8,219,9.9,9,1.2,9.7
20.5,220,9.9,9,0.6,3
21.3,220,9.9,9,0.6,1.9
21.9,220,9.8,8.9,0.7,1.3
20.4,219,10,9,0.7,2.4
20.3,219,10.1,9,1.2,3.3
21.2,220,10,9,0.7,3
21.2,220,10,9,0.9,3.1
21.1,220,10,9,0.8,3.1
21.1,220,9.9,9,0.7,2
20.8,220,9.9,9,0.6,2
21,220,9.7,9,0.6,1.8
20.8,220,9.7,9,0.6,2
21.1,220,9.6,9,0.6,3.3
21.3,220,9.6,9,0.7,4.4
21.2,220,9.6,9,0.6,2.8
21.1,220,9.5,8.9,0.6,3
21,220,9.5,8.9,1.1,2.9
20.9,220,9.5,8.9,0.9,2.5
20.8,220,9.5,8.9,1.4,3.1
20.7,220,9.4,8.9,1.4,2.9
20.7,220,9.4,8.9,0.9,2.9
20.7,220,9.5,9,1.8,1.6
20.8,221,9.4,8.9,0.6,2.6
21,220,9.4,8.9,0.8,3.1
21,220,9.5,8.9,0.6,1.3
21.4,220,9.5,9,0.7,2
22.3,221,9.5,8.9,0.8,1.9
22.7,221,9.4,8.9,0.8,2.8
22.2,221,9.6,8.9,0.8,1.7
21.6,220,9.6,8.9,0.9,2.3
21.4,220,9.6,9,0.7,3.3
21.7,220,9.6,9,0.9,2.8
21.6,220,9.6,8.9,0.9,2.4
21.5,220,9.5,8.9,0.9,2.6
21.5,220,9.4,8.9,1.1,4
21.4,220,9.4,8.9,0.8,2.9
21.3,220,9.4,8.9,1.3,2.4
21.2,220,9.4,8.9,0.9,2.5
21.1,220,9.3,8.9,0.7,3.4
21.2,220,9.2,8.9,1.4,6.2
21.1,220,9.2,8.9,1.5,3.3
21,220,9.2,8.9,0.8,3.5
20.9,220,9.2,8.9,0.8,3.5
20.8,220,9.2,8.9,2.6,4.2
20.8,220,9.2,8.9,0.8,3.1
20.8,220,9.3,8.9,1.1,2
20.9,220,9.3,8.9,0.8,2.3
21.1,220,9.3,8.9,0.8,1.9
21.3,220,9.3,8.9,0.6,1.9
21.5,220,9.3,8.9,0.5,3.8
21.8,220,9.3,8.9,0.5,3
22.2,221,9.4,8.9,0.5,1.6
22,220,9.4,8.9,0.5,3
22.3,221,9.4,8.9,0.5,1.5
21.5,221,9.6,8.9,0.6,2.2
21.9,221,9.4,8.9,0.7,2
21.4,220,9.7,9,0.6,1.9
21.2,220,9.8,9,0.9,2.9
21.3,221,9.4,8.9,0.5,2.2
21.4,221,9.5,9,0.6,5.1
21.2,220,9.4,9,0.5,2.7
21.2,220,9.4,8.9,0.6,2.5
21.2,221,9.4,8.9,0.9,1.8
21.3,221,9.4,8.9,0.5,3.5
21.2,221,9.3,8.9,0.8,5.6
21.1,221,9.3,8.9,0.7,2.9
21.1,221,9.3,8.9,0.7,3.3
21,221,9.2,8.9,0.7,3.6
21,221,9.2,8.9,0.6,9
21.1,221,9.3,8.9,0.6,2.5
21.3,221,9.3,8.9,0.5,2.9
21.5,221,9.4,8.9,0.5,3.4
21.8,221,9.4,8.9,0.5,1.7
22.1,221,9.3,8.9,0.6,1.9
22.4,222,9.3,8.9,0.6,2
21.3,221,9.5,8.9,0.7,2.5
20.4,221,9.7,8.9,0.8,3.4
20.7,221,9.7,8.9,0.7,2.8
21.3,222,9.6,8.9,0.5,3.2
21.5,221,9.6,8.9,0.5,3.4
21.5,222,9.5,8.9,0.6,3.5
21.5,221,9.5,8.9,0.8,3.3
21.4,222,9.5,8.9,2.9,3.9
21.4,222,9.4,8.9,0.5,11.4
21.3,222,9.4,8.9,0.6,8.6
21.3,222,9.4,8.9,0.6,3.5
21.3,221,9.3,8.9,0.6,3.3
21.3,222,9.3,8.9,0.8,2.3
21.2,221,9.2,8.9,0.8,3.3
21.2,222,9.2,8.9,1,3.2
21.1,222,9.2,8.9,0.5,4.9
21,222,9.2,8.9,0.7,5.6
21,221,9.2,8.9,0.6,1.8
21,221,9.2,8.9,0.6,4.5
21,221,9.2,8.9,0.8,2.8
21.1,221,9.2,8.9,0.5,2.4
21.2,222,9.2,8.9,0.6,2.3
21,222,9.4,8.9,0.7,1.8
21,222,9.5,8.9,0.7,2.2
20.4,223,9.7,8.9,0.8,2.5
20.1,224,9.6,8.9,0.9,2.9
20.5,224,9.5,8.9,1.1,4.8
21.2,223,9.3,8.9,0.8,3.8
21.2,223,9.3,8.9,0.7,3
21.1,223,9.3,8.9,0.6,3.7
21,223,9.3,8.9,0.8,3.9
20.8,223,9.3,8.9,0.6,4.9
20.8,223,9.2,8.9,0.6,5.4
20.6,223,9.2,8.9,0.5,12.8
20.6,223,9.2,8.9,1.1,3
20.8,223,9.1,8.9,0.6,2.3
20.7,223,9.1,8.9,0.7,4.8
20.7,223,9,8.9,0.6,3.6
20.6,223,9,8.9,0.7,5.1
20.6,223,9,8.9,0.5,4.8
20.5,223,9,8.9,0.5,3.3
20.4,223,9,8.9,0.6,3.9
20.3,223,9.1,8.9,0.6,3.2
20.3,223,9.1,8.9,0.7,2.3
20.4,223,9.2,8.9,0.7,2.9
20.5,223,9,8.9,0.7,2.8
20.4,223,9.1,8.9,0.8,2.7
20.5,223,9.2,8.9,0.9,3.4
20.6,223,9.2,8.9,0.9,3.4
20.5,223,9.2,8.9,0.8,3
20.6,223,9.2,8.9,0.6,3.9
20.6,223,9.3,8.9,0.7,4.5
20.5,223,9.3,8.9,0.6,4
20.5,223,9.3,8.9,0.6,3.9
20.2,223,9.2,8.9,0.7,4.6
20.1,223,9.2,8.9,0.8,3.5
20.2,223,9.1,8.9,0.7,4.3
20,223,9.1,8.9,2,5
20,223,9.1,8.9,0.6,6
20,223,9.1,8.9,0.6,4.5
20,223,9,8.9,0.6,3.9
20,223,9,8.9,0.6,5.6
19.9,223,9,8.9,0.7,4.5
19.8,223,9,8.9,0.8,4.7
19.8,223,9,8.9,1.1,7.5
19.7,223,9,8.9,2.1,4.9
19.7,223,9,8.9,0.6,3.7
19.7,223,9.1,8.9,0.7,3.4
19.8,223,9.1,8.9,1,3.7
19.9,223,9.1,8.9,0.8,2.6
20,223,9.2,8.9,0.7,3.4
20.1,223,9.2,8.9,0.6,3.2
20.2,223,9.3,8.9,0.6,3.9
20.3,223,9.3,8.9,0.9,3.8
20.3,223,9.3,8.9,0.6,3.3
20.1,223,9.3,8.9,0.7,6.3
20.2,224,9.3,8.9,0.7,4.6
20.1,224,9.3,8.9,0.7,5.2
20,224,9.3,8.9,0.7,3.8
20,224,9.2,8.9,0.6,4.5
19.9,224,9.2,8.9,0.7,6.9
19.9,224,9.2,8.9,1,7.1
19.8,224,9.2,8.9,0.9,4.7
19.7,224,9.2,8.9,2.7,2.9
19.7,224,9.1,8.9,0.6,9.3
19.6,224,9.1,8.9,0.9,5.3
19.6,224,9.1,8.9,1.5,4.8
19.5,224,9,8.9,0.7,5.9
19.5,224,9,8.9,0.8,4.4
19.5,224,9,8.9,1,5.3
19.5,224,9,8.9,0.7,5
19.6,224,9.1,8.9,0.7,7.1
20,224,9.2,8.9,0.6,3.7
20,224,9.2,8.9,0.6,4.9
20,224,9.3,8.9,0.7,7.6
20,224,9.3,8.9,0.7,2.6
20.1,224,9.5,8.9,0.6,4
20,224,9.6,8.9,0.7,6.8
20,224,9.6,8.9,0.7,5.8
20,223,9.7,8.9,0.7,6.5
20.1,224,9.6,8.9,0.7,4.8
20.1,224,9.6,8.9,0.7,6.3
20.2,224,9.5,8.9,1.4,7.1
20.2,224,9.5,8.9,0.7,5.4
20.2,224,9.5,8.9,0.7,6
20.2,224,9.4,8.9,0.7,8.5
20.1,224,9.4,8.9,0.9,3.5
20.1,224,9.4,8.9,0.7,13.1
20.1,224,9.3,8.9,0.7,9.8
20.1,225,9.3,8.9,0.6,10.7
20,225,9.2,8.9,0.7,13.4
20,225,9.2,8.9,0.6,8.6
19.9,225,9.2,8.9,0.5,7.4
19.8,224,9.2,8.9,0.6,7.9
19.9,225,9.2,8.9,0.9,4.5
20,225,9.2,8.9,0.5,11.8
20,225,9.3,8.9,0.5,4.7
20.1,225,9.4,8.9,1.3,9.6
20.1,224,9.5,8.9,0.6,4.7
20.4,225,9.4,8.9,0.6,3.7
20.6,224,9.5,8.9,0.7,3.3
20.8,224,9.5,8.9,0.6,4.8
20.8,224,9.6,8.9,0.7,3
20.9,224,9.6,8.9,0.7,6.3
21,225,9.6,8.9,0.6,6
21,224,9.6,8.9,0.7,6.4
20.8,224,9.6,8.9,0.7,5.2
20.8,225,9.5,8.9,0.6,6.6
20.7,224,9.5,8.9,0.8,8.5
20.6,224,9.5,8.9,0.8,7.9
20.6,224,9.5,8.9,0.6,8.9
20.6,224,9.5,8.9,0.9,0.5
20.6,225,9.4,8.9,0.8,8
20.6,225,9.4,8.9,0.8,7.4
20.5,225,9.4,8.9,0.6,9
20.5,225,9.3,8.9,0.7,6.5
20.5,225,9.3,8.9,0.7,7.1
20.4,225,9.4,8.9,0.8,5.8
20.4,225,9.4,8.9,0.7,5.2
20.6,225,9.4,8.9,1,12.7
20.7,225,9.5,8.9,0.7,9.8
20.8,225,9.6,8.9,0.7,5.4
20.9,225,9.5,8.9,0.8,3.8
20.7,224,9.7,8.9,0.6,5.3
20.9,224,9.7,8.9,1,3.9
21.4,225,9.7,8.9,1,5
20.9,224,9.9,8.9,0.7,4.5
20.9,224,10,9,2,6.2
20.4,224,10.2,9,0.9,11.8
21.4,225,9.9,8.9,0.8,6.4
21.8,225,9.7,8.9,0.7,7.1
21.9,225,9.7,8.9,0.8,8.6
21.7,225,9.7,8.9,0.8,12.4
21.6,225,9.7,8.9,0.8,8.9
21.6,225,9.7,8.9,0.8,7.5
21.6,225,9.6,8.9,0.7,8.2
21.5,225,9.6,8.9,0.7,7.9
21.4,225,9.6,8.9,0.7,15.5
21.4,225,9.5,8.9,0.6,4.1
21.3,225,9.5,8.9,0.8,10.2
21.2,225,9.5,8.9,0.7,5.6
21.2,225,9.5,8.9,0.9,6.6
21.3,225,9.6,8.9,0.6,4.2
21.4,226,9.6,8.9,0.7,4.7
21.6,225,9.7,8.9,0.6,12.5
21.9,226,9.6,8.9,0.7,9.1
22.2,226,9.7,8.9,0.8,11
22.4,226,9.7,8.9,0.6,4.2
22.7,226,9.8,8.9,0.7,3.4
23.6,226,9.8,8.9,0.7,4.5
23.8,227,9.6,8.9,0.6,2.8
23.3,226,9.8,8.9,0.6,3.8
22.5,225,10.1,9,0.7,7.1
22.1,225,10.2,9,0.9,18.1
23,226,9.8,9,0.6,4.9
23,226,9.7,8.9,0.6,6.2
23.4,227,9.6,8.9,0.5,4.4
23.4,227,9.5,8.9,0.7,4.7
23.3,226,9.5,8.9,0.6,4.5
23.2,227,9.5,8.9,0.6,5.2
23,226,9.4,8.9,0.7,6
22.9,226,9.4,8.9,0.6,5.5
22.8,226,9.4,8.9,3.5,6.4
22.7,226,9.3,8.9,0.8,4.2
22.6,226,9.3,8.9,0.6,6
22.5,226,9.3,8.9,0.7,4.2
22.6,226,9.4,8.9,0.6,4
22.7,226,9.4,8.9,0.8,17.8
22.9,227,9.4,8.9,0.6,9
23,227,9.5,8.9,0.6,3.7
23.7,227,9.4,8.9,0.7,4.2
23.1,226,9.6,8.9,0.7,2.6
22.8,226,10,9,0.8,4.8
22.8,226,10.1,9,0.8,3.3
24.3,227,9.6,8.9,0.6,1.6
23.9,226,9.8,8.9,0.6,3.8
23.4,226,10,9,0.7,5.4
23.4,226,9.9,9,3.7,4.7
23.8,227,9.7,8.9,0.6,3.7
24,227,9.6,8.9,0.7,5.9
24.2,227,9.5,8.9,0.6,3.8
24.3,228,9.4,8.9,0.6,1.8
24.2,227,9.4,8.9,0.6,2.5
24.1,227,9.4,8.9,0.6,3.3
24,227,9.4,8.9,0.6,2.8
